,dengue_cases,daily_rainf_total,highest_30min_rainf,highest_60min_rainf,highest_120min_rainf,mean_temp,max_temp,min_temp,mean_wind_speed,max_wind_speed,dengue_searches,dengue_fever_searches,dengue_symptoms_searches
2016-05-08,217.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,29.842857142857145,33.699999999999996,27.457142857142856,8.085714285714285,33.542857142857144,13,3,3
2016-05-15,212.0,3.6,2.7142857142857144,2.8000000000000003,3.5142857142857147,29.285714285714285,33.31428571428571,26.75714285714286,6.942857142857143,37.271428571428565,14,3,4
2016-05-22,198.0,17.914285714285715,12.457142857142856,14.37142857142857,17.0,28.771428571428572,32.67142857142857,25.7,7.042857142857143,35.94285714285714,17,3,4
2016-05-29,220.0,4.514285714285714,3.142857142857143,3.2857142857142856,4.514285714285714,29.47142857142857,32.34285714285714,26.47142857142857,8.071428571428571,31.285714285714285,16,2,4
2016-06-05,160.0,2.2285714285714286,1.457142857142857,1.657142857142857,1.8,28.24285714285714,31.542857142857144,25.814285714285713,6.485714285714286,31.485714285714288,15,3,5
2016-06-12,193.0,2.9428571428571426,2.085714285714286,2.6571428571428575,2.8857142857142857,28.785714285714285,32.0,26.357142857142858,6.928571428571429,35.128571428571426,12,3,4
2016-06-19,215.0,9.6,6.371428571428572,7.742857142857142,7.857142857142857,27.87142857142857,30.942857142857143,25.47142857142857,6.042857142857143,30.17142857142857,12,4,4
2016-06-26,234.0,10.114285714285714,6.428571428571428,7.771428571428571,8.485714285714284,28.428571428571427,31.514285714285712,25.542857142857144,7.414285714285714,31.685714285714283,16,5,4
2016-07-03,247.0,0.0,0.0,0.0,0.0,29.785714285714285,32.5,27.814285714285713,10.585714285714285,29.52857142857143,13,3,5
2016-07-10,223.0,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9142857142857144,29.62857142857143,32.51428571428572,27.071428571428573,10.657142857142857,32.857142857142854,16,5,3
2016-07-17,266.0,0.8285714285714285,0.5142857142857143,0.6,0.7142857142857143,28.17142857142857,31.75714285714286,25.728571428571428,6.485714285714286,35.028571428571425,17,4,3
2016-07-24,222.0,21.428571428571427,12.771428571428572,15.714285714285714,19.657142857142855,27.142857142857142,31.17142857142857,24.12857142857143,6.542857142857144,29.485714285714288,17,5,6
2016-07-31,211.0,0.9142857142857144,0.6857142857142857,0.8571428571428571,0.8857142857142856,28.02857142857143,30.82857142857143,25.47142857142857,6.685714285714285,32.92857142857143,18,4,3
2016-08-07,198.0,4.857142857142857,4.285714285714286,4.685714285714285,4.8,28.514285714285712,31.5,25.614285714285717,8.285714285714286,35.74285714285714,11,5,2
2016-08-14,222.0,1.0285714285714287,1.0285714285714287,1.0285714285714287,1.0285714285714287,29.228571428571428,32.128571428571426,27.042857142857144,7.457142857142857,30.800000000000004,14,4,3
2016-08-21,274.0,6.285714285714286,4.657142857142857,5.8,6.228571428571429,29.157142857142855,31.771428571428572,26.071428571428573,11.157142857142857,35.94285714285714,13,3,3
2016-08-28,311.0,4.542857142857143,3.4285714285714284,4.114285714285714,4.428571428571429,28.985714285714288,32.285714285714285,26.17142857142857,6.957142857142857,31.071428571428573,32,6,6
2016-09-04,242.0,3.9428571428571426,3.0,3.057142857142857,3.1142857142857143,28.285714285714285,31.67142857142857,25.599999999999998,6.728571428571429,33.642857142857146,22,4,3
2016-09-11,174.0,4.0285714285714285,3.342857142857143,3.7714285714285714,3.8857142857142857,28.099999999999998,31.071428571428573,25.52857142857143,7.5,37.91428571428571,16,3,3
2016-09-18,173.0,8.542857142857143,4.428571428571429,5.485714285714286,5.857142857142857,27.957142857142856,31.542857142857144,24.142857142857142,6.7,37.58571428571429,14,3,2
2016-09-25,138.0,2.6142857142857143,1.4000000000000001,2.0,2.2,28.428571428571427,32.528571428571425,25.12857142857143,7.242857142857143,30.442857142857143,11,3,2
2016-10-02,125.0,1.0285714285714287,0.8857142857142858,0.9714285714285714,1.0,28.814285714285713,33.1,25.842857142857145,6.414285714285714,32.48571428571429,13,2,1
2016-10-09,94.0,14.0,8.542857142857143,11.885714285714286,12.200000000000001,27.928571428571427,31.25714285714286,24.428571428571427,5.814285714285715,32.81428571428572,12,1,1
2016-10-16,108.0,0.9714285714285714,0.7142857142857143,0.7428571428571429,0.7999999999999999,29.52857142857143,33.457142857142856,26.285714285714285,8.171428571428573,33.44285714285714,11,2,3
2016-10-23,84.0,4.057142857142857,3.257142857142857,3.6000000000000005,3.742857142857143,28.7,32.2,25.571428571428573,7.042857142857144,34.114285714285714,10,2,3
2016-10-30,86.0,6.828571428571428,3.9714285714285715,4.685714285714286,4.971428571428571,26.942857142857143,31.02857142857143,24.271428571428572,5.385714285714286,29.114285714285717,10,2,1
2016-11-06,84.0,8.514285714285714,4.828571428571428,6.2,6.857142857142857,27.75714285714286,31.099999999999998,25.057142857142857,6.1000000000000005,29.97142857142857,7,1,1
2016-11-13,72.0,13.000000000000002,5.628571428571428,9.314285714285715,10.799999999999999,27.428571428571427,30.928571428571427,24.8,5.742857142857143,30.128571428571426,7,2,2
2016-11-20,75.0,18.4,10.228571428571428,14.685714285714285,16.4,27.114285714285717,30.599999999999998,24.442857142857143,5.614285714285714,31.157142857142855,8,3,2
2016-11-27,86.0,1.4285714285714286,0.7142857142857143,0.8857142857142858,1.2,27.657142857142855,30.728571428571428,25.32857142857143,6.314285714285715,27.357142857142858,8,1,1
2016-12-04,59.0,5.714285714285714,3.7142857142857144,4.628571428571429,4.771428571428571,27.3,30.285714285714285,25.171428571428574,6.528571428571429,23.97142857142857,6,1,1
2016-12-11,81.0,12.685714285714285,9.342857142857143,9.742857142857142,9.914285714285713,27.67142857142857,31.82857142857143,24.514285714285712,6.871428571428572,31.82857142857143,7,2,1
2016-12-18,72.0,4.942857142857143,3.485714285714286,3.6285714285714286,3.6571428571428575,27.928571428571427,32.4,25.142857142857142,7.2,31.871428571428574,5,2,2
2016-12-25,64.0,17.742857142857144,9.428571428571429,12.171428571428573,15.942857142857145,27.385714285714283,32.214285714285715,24.685714285714287,7.728571428571429,35.75714285714286,6,0,0
2017-01-01,70.0,0.9428571428571428,0.39999999999999997,0.4857142857142857,0.6,26.728571428571428,30.37142857142857,24.52857142857143,7.928571428571429,29.314285714285713,13,6,3
2017-01-08,91.0,0.6857142857142857,0.5428571428571428,0.6571428571428571,0.6571428571428571,27.67142857142857,31.585714285714285,25.185714285714287,7.1571428571428575,28.542857142857144,12,3,1
2017-01-15,75.0,5.8,5.085714285714286,5.285714285714286,5.457142857142857,27.5,31.928571428571427,24.985714285714288,7.614285714285715,30.91428571428571,12,4,3
2017-01-22,66.0,9.6,8.22857142857143,9.285714285714286,9.428571428571429,26.685714285714287,30.75714285714286,24.24285714285714,7.614285714285714,30.285714285714285,9,3,3
2017-01-29,62.0,11.685714285714285,2.485714285714286,3.0285714285714285,4.0285714285714285,26.0,28.842857142857145,24.157142857142855,8.657142857142857,32.65714285714286,9,0,0
2017-02-05,77.0,9.685714285714285,6.914285714285714,8.657142857142857,9.514285714285714,26.8,30.900000000000002,24.75714285714286,7.771428571428571,28.914285714285715,11,4,4
2017-02-12,53.0,5.171428571428571,3.257142857142857,3.742857142857143,4.428571428571429,26.842857142857145,30.614285714285717,24.67142857142857,9.971428571428572,34.17142857142857,9,1,3
2017-02-19,54.0,2.7142857142857144,0.9714285714285714,1.2857142857142858,1.6285714285714288,26.75714285714286,30.228571428571428,24.685714285714287,13.785714285714286,39.32857142857143,11,4,1
2017-02-26,41.0,4.971428571428571,1.7142857142857142,2.685714285714286,3.5142857142857147,27.057142857142857,30.885714285714283,24.75714285714286,9.057142857142857,32.08571428571428,11,3,1
2017-03-05,32.0,7.3428571428571425,2.3428571428571425,2.742857142857143,3.6,26.557142857142857,29.642857142857142,24.3,11.0,34.57142857142857,11,3,3
2017-03-12,35.0,0.0,0.0,0.0,0.0,27.17142857142857,30.97142857142857,24.82857142857143,10.842857142857143,30.099999999999998,13,4,2
2017-03-19,32.0,0.0,0.0,0.0,0.0,27.928571428571427,31.900000000000002,25.357142857142858,8.542857142857143,30.400000000000002,10,2,3
2017-03-26,50.0,3.114285714285714,1.2857142857142858,1.3428571428571427,2.057142857142857,28.085714285714285,31.82857142857143,25.585714285714285,8.228571428571428,28.47142857142857,11,2,5
2017-04-02,37.0,11.085714285714285,7.542857142857143,9.114285714285714,10.057142857142859,26.857142857142858,31.24285714285714,24.400000000000002,6.028571428571429,32.77142857142857,13,3,3
2017-04-09,32.0,7.114285714285714,5.314285714285715,6.257142857142857,6.771428571428571,27.928571428571427,32.3,25.071428571428573,6.285714285714286,31.02857142857143,8,2,2
2017-04-16,51.0,4.942857142857143,1.9428571428571428,3.4285714285714284,4.2,27.914285714285715,31.25714285714286,24.914285714285715,7.214285714285714,29.114285714285717,11,4,3
2017-04-23,37.0,5.3999999999999995,3.4285714285714284,4.457142857142857,5.228571428571428,28.085714285714285,32.15714285714286,25.185714285714287,5.985714285714286,27.814285714285713,8,4,1
2017-04-30,42.0,11.142857142857142,7.228571428571429,10.171428571428569,11.028571428571428,27.514285714285712,31.32857142857143,24.914285714285715,6.1000000000000005,26.37142857142857,11,2,5
2017-05-07,48.0,4.3428571428571425,3.8000000000000003,3.9714285714285715,3.9714285714285715,28.457142857142856,31.414285714285715,25.97142857142857,6.471428571428571,30.042857142857144,9,3,3
2017-05-14,50.0,2.857142857142857,1.342857142857143,2.028571428571429,2.3714285714285714,28.442857142857143,31.271428571428572,26.2,7.785714285714286,29.585714285714285,11,3,2
2017-05-21,50.0,5.114285714285714,4.257142857142857,4.885714285714286,5.114285714285714,28.97142857142857,31.771428571428572,26.599999999999998,9.985714285714286,35.31428571428572,15,3,4
