,df,dhf,dengue_cases,daily_rainf_total,highest_30min_rainf,highest_60min_rainf,highest_120min_rainf,mean_temp,max_temp,min_temp,mean_wind_speed,max_wind_speed,dengue_searches,dengue_fever_searches,dengue_symptoms_searches,daily_rainf_total_squared,highest_30min_rainf_squared,highest_60min_rainf_squared,highest_120min_rainf_squared
2016-02-07,420.0,0.0,420.0,0.2571428571428572,0.2571428571428572,0.2571428571428572,0.2571428571428572,28.514285714285712,32.028571428571425,26.114285714285717,11.257142857142856,31.47142857142857,27.0,9.0,6.0,0.06612244897959185,0.06612244897959185,0.06612244897959185,0.06612244897959185
2016-02-14,592.0,1.0,593.0,7.3428571428571425,5.771428571428572,6.628571428571428,7.028571428571429,28.400000000000002,32.31428571428571,26.0,8.971428571428572,30.11428571428571,25.0,7.0,4.0,53.91755102040816,33.30938775510205,43.93795918367346,49.400816326530624
2016-02-21,508.0,4.0,512.0,0.8571428571428571,0.7714285714285715,0.7999999999999999,0.8285714285714285,28.52857142857143,32.05714285714286,26.514285714285712,10.028571428571428,33.528571428571425,37.0,10.0,8.0,0.7346938775510203,0.5951020408163266,0.6399999999999999,0.6865306122448979
2016-02-28,412.0,0.0,412.0,1.3714285714285714,0.7999999999999999,0.8285714285714285,0.9142857142857144,28.614285714285717,32.142857142857146,26.271428571428572,11.614285714285714,38.771428571428565,33.0,11.0,8.0,1.8808163265306124,0.6399999999999999,0.6865306122448979,0.8359183673469389
2016-03-06,396.0,1.0,397.0,5.571428571428571,1.9714285714285715,2.5428571428571423,2.942857142857143,28.185714285714287,31.571428571428573,25.814285714285713,11.685714285714285,35.114285714285714,30.0,9.0,8.0,31.04081632653061,3.8865306122448984,6.466122448979589,8.660408163265307
2016-03-13,373.0,1.0,374.0,0.31428571428571433,0.2571428571428572,0.2857142857142857,0.31428571428571433,27.62857142857143,30.47142857142857,25.74285714285714,10.542857142857143,31.128571428571426,29.0,12.0,7.0,0.09877551020408167,0.06612244897959185,0.08163265306122448,0.09877551020408167
2016-03-20,306.0,2.0,308.0,10.428571428571429,2.5142857142857147,3.1999999999999997,3.542857142857143,27.542857142857144,30.9,25.428571428571427,11.514285714285714,38.05714285714286,26.0,11.0,8.0,108.75510204081633,6.321632653061227,10.239999999999998,12.551836734693879
2016-03-27,376.0,1.0,377.0,10.257142857142856,3.4857142857142853,6.371428571428572,7.914285714285714,27.857142857142858,31.385714285714283,25.285714285714285,12.342857142857143,39.542857142857144,24.0,8.0,6.0,105.20897959183672,12.15020408163265,40.595102040816336,62.63591836734693
2016-04-03,290.0,2.0,292.0,0.05714285714285715,0.028571428571428574,0.05714285714285715,0.05714285714285715,28.571428571428573,31.942857142857143,26.542857142857144,13.571428571428571,39.08571428571428,20.0,7.0,4.0,0.00326530612244898,0.000816326530612245,0.00326530612244898,0.00326530612244898
2016-04-10,225.0,0.0,225.0,0.6571428571428571,0.5714285714285714,0.6,0.6285714285714287,28.928571428571427,33.042857142857144,26.614285714285717,10.6,30.32857142857143,19.0,6.0,4.0,0.43183673469387757,0.32653061224489793,0.36,0.39510204081632666
2016-04-17,231.0,0.0,231.0,0.0,0.0,0.0,0.0,28.985714285714288,33.271428571428565,26.271428571428572,11.214285714285714,30.67142857142857,15.0,5.0,3.0,0.0,0.0,0.0,0.0
2016-04-24,244.0,0.0,244.0,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,29.12857142857143,33.57142857142857,26.67142857142857,10.528571428571428,34.2,20.0,7.0,4.0,0.02938775510204082,0.02938775510204082,0.02938775510204082,0.02938775510204082
2016-05-01,181.0,0.0,181.0,1.0857142857142856,1.0857142857142856,1.0857142857142856,1.0857142857142856,29.442857142857143,33.642857142857146,26.785714285714285,13.228571428571428,35.5,20.0,7.0,3.0,1.1787755102040816,1.1787755102040816,1.1787755102040816,1.1787755102040816
2016-05-08,217.0,0.0,217.0,1.0571428571428572,0.7142857142857143,0.8857142857142858,1.0285714285714287,29.3,33.457142857142856,26.571428571428573,9.271428571428572,31.514285714285712,16.0,5.0,3.0,1.1175510204081633,0.5102040816326531,0.7844897959183674,1.0579591836734696
2016-05-15,212.0,0.0,212.0,3.4,2.8000000000000003,3.0285714285714285,3.3142857142857145,29.657142857142855,33.3,26.685714285714287,7.571428571428571,33.17142857142857,13.0,3.0,3.0,11.559999999999999,7.840000000000002,9.172244897959184,10.98448979591837
2016-05-22,198.0,0.0,198.0,2.0571428571428574,1.8285714285714285,1.8285714285714285,1.8571428571428572,29.900000000000002,33.67142857142857,27.285714285714285,9.4,34.3,13.0,3.0,3.0,4.2318367346938786,3.343673469387755,3.343673469387755,3.4489795918367347
2016-05-29,219.0,1.0,220.0,5.228571428571429,4.114285714285715,4.4,4.4,28.942857142857143,33.028571428571425,26.157142857142855,6.385714285714286,28.228571428571428,13.0,3.0,4.0,27.33795918367347,16.927346938775514,19.360000000000003,19.360000000000003
2016-06-05,159.0,1.0,160.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,29.842857142857145,33.699999999999996,27.457142857142856,8.085714285714285,33.542857142857144,13.0,3.0,3.0,0.007346938775510205,0.007346938775510205,0.007346938775510205,0.007346938775510205
